epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,208.02,0.56448,0.30225,0.83501,0.95471,0.77128,0.83928,0.6524,0.89464,0.65411,0.92658,0.0008318,0.0008318,0.0008318
61,211.065,0.56948,0.30774,0.81437,0.9121,0.79878,0.82863,0.64755,0.88525,0.67853,0.92067,0.000812,0.000812,0.000812
62,214.217,0.58686,0.31424,0.82755,0.91344,0.78659,0.81868,0.63883,0.88438,0.71786,0.9203,0.0007922,0.0007922,0.0007922
63,217.275,0.57158,0.31157,0.83488,0.95382,0.75572,0.81984,0.63675,0.87301,0.74523,0.91843,0.0007724,0.0007724,0.0007724
64,220.374,0.59716,0.31625,0.82598,0.93741,0.7622,0.82048,0.64093,0.89165,0.72165,0.91535,0.0007526,0.0007526,0.0007526
65,223.376,0.55636,0.30854,0.82916,0.96899,0.7621,0.82696,0.64499,0.87581,0.68055,0.91006,0.0007328,0.0007328,0.0007328
66,226.537,0.57469,0.30858,0.82231,0.95266,0.7622,0.83499,0.65402,0.87883,0.68186,0.91187,0.000713,0.000713,0.000713
67,229.604,0.58628,0.30741,0.80898,0.9305,0.77439,0.84194,0.65791,0.87539,0.68437,0.91119,0.0006932,0.0006932,0.0006932
68,232.695,0.52987,0.30984,0.83236,0.93223,0.7622,0.84127,0.66351,0.86677,0.65636,0.90434,0.0006734,0.0006734,0.0006734
69,235.728,0.55693,0.29541,0.8136,0.90875,0.78942,0.84146,0.67136,0.86554,0.65556,0.90525,0.0006536,0.0006536,0.0006536
70,238.776,0.54166,0.29641,0.81899,0.90887,0.79056,0.83905,0.6537,0.90288,0.65791,0.92028,0.0006338,0.0006338,0.0006338
71,241.879,0.55843,0.2981,0.82372,0.91849,0.79268,0.8493,0.65192,0.93744,0.65541,0.93415,0.000614,0.000614,0.000614
72,245.008,0.54774,0.29181,0.80744,0.91753,0.81409,0.86889,0.65781,0.91783,0.59053,0.92466,0.0005942,0.0005942,0.0005942
73,248.081,0.55691,0.29436,0.82751,0.94549,0.79268,0.8595,0.65525,0.90589,0.6005,0.92314,0.0005744,0.0005744,0.0005744
74,251.08,0.54829,0.286,0.80959,0.90112,0.79878,0.8454,0.64281,0.92819,0.63315,0.92721,0.0005546,0.0005546,0.0005546
75,254.275,0.53144,0.2882,0.81193,0.89568,0.78049,0.83722,0.63549,0.92478,0.65357,0.92313,0.0005348,0.0005348,0.0005348
76,257.547,0.54749,0.2999,0.81642,0.90708,0.77384,0.81705,0.6291,0.89683,0.68801,0.91982,0.000515,0.000515,0.000515
77,260.622,0.53637,0.29744,0.80726,0.90711,0.77405,0.82262,0.63731,0.90537,0.68428,0.91981,0.0004952,0.0004952,0.0004952
78,263.705,0.5125,0.28329,0.82711,0.9083,0.78514,0.83005,0.63886,0.91679,0.67071,0.9194,0.0004754,0.0004754,0.0004754
79,266.784,0.54378,0.28939,0.80127,0.91343,0.7721,0.83898,0.64802,0.91935,0.66014,0.91643,0.0004556,0.0004556,0.0004556
80,269.996,0.52159,0.2791,0.80832,0.92031,0.77465,0.85273,0.65272,0.88903,0.62853,0.91204,0.0004358,0.0004358,0.0004358
81,272.981,0.50364,0.27954,0.8089,0.92122,0.78434,0.84775,0.65418,0.89989,0.64425,0.91729,0.000416,0.000416,0.000416
82,275.971,0.54461,0.29426,0.80887,0.9472,0.76579,0.84665,0.65409,0.91888,0.65713,0.9217,0.0003962,0.0003962,0.0003962
83,279.074,0.51706,0.27712,0.80013,0.93991,0.76829,0.85306,0.65059,0.92494,0.65973,0.92299,0.0003764,0.0003764,0.0003764
84,282.516,0.51,0.28049,0.81536,0.92563,0.75888,0.84332,0.65221,0.89874,0.66926,0.92131,0.0003566,0.0003566,0.0003566
85,285.613,0.49597,0.27007,0.80921,0.92643,0.7561,0.84276,0.64893,0.89588,0.67175,0.92004,0.0003368,0.0003368,0.0003368
86,288.757,0.50145,0.27445,0.79182,0.93148,0.7561,0.84249,0.65407,0.90163,0.65954,0.92099,0.000317,0.000317,0.000317
87,291.83,0.4898,0.28058,0.8191,0.92002,0.7561,0.84273,0.65385,0.9022,0.65412,0.92207,0.0002972,0.0002972,0.0002972
88,294.923,0.49497,0.27031,0.80103,0.92162,0.78049,0.85761,0.65942,0.90725,0.64081,0.92316,0.0002774,0.0002774,0.0002774
89,298.04,0.47634,0.25877,0.80863,0.92853,0.78659,0.85888,0.66292,0.89979,0.63168,0.92319,0.0002576,0.0002576,0.0002576
90,301.317,0.48338,0.26129,0.80509,0.93018,0.78659,0.85064,0.66551,0.8951,0.6452,0.92532,0.0002378,0.0002378,0.0002378
91,309.88,0.4856,0.28896,0.82077,0.93709,0.78049,0.86334,0.67215,0.89484,0.63527,0.92612,0.000218,0.000218,0.000218
92,313.834,0.53685,0.30483,0.80754,0.94098,0.77776,0.85294,0.66149,0.91479,0.65593,0.92907,0.0001982,0.0001982,0.0001982
93,317.272,0.49639,0.27202,0.80572,0.94564,0.78659,0.85313,0.65542,0.91814,0.66774,0.93,0.0001784,0.0001784,0.0001784
94,320.489,0.45161,0.25187,0.78057,0.93532,0.7936,0.8523,0.65152,0.91658,0.67852,0.92912,0.0001586,0.0001586,0.0001586
95,323.638,0.44451,0.23994,0.80905,0.94378,0.79268,0.85014,0.65108,0.91007,0.67925,0.9266,0.0001388,0.0001388,0.0001388
96,326.787,0.42062,0.2346,0.81782,0.94857,0.79878,0.84958,0.66451,0.88943,0.67983,0.91845,0.000119,0.000119,0.000119
97,329.846,0.43397,0.23088,0.81055,0.94913,0.79643,0.84813,0.66634,0.88563,0.6882,0.91559,9.92e-05,9.92e-05,9.92e-05
98,332.998,0.4518,0.25012,0.80105,0.94222,0.79541,0.8466,0.6633,0.88577,0.69458,0.91317,7.94e-05,7.94e-05,7.94e-05
99,336.455,0.42231,0.22934,0.80377,0.94015,0.78659,0.83715,0.65991,0.89104,0.70258,0.91365,5.96e-05,5.96e-05,5.96e-05
100,339.533,0.41261,0.23618,0.81387,0.94378,0.78049,0.8469,0.66073,0.88648,0.70424,0.91335,3.98e-05,3.98e-05,3.98e-05
