epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,120.947,0.63422,0.35735,0.86315,0.91811,0.88511,0.95165,0.73006,0.90665,0.58454,0.98587,0.0009308,0.0009308,0.0009308
56,122.857,0.63908,0.37826,0.84421,0.85878,0.96017,0.9655,0.72418,0.93767,0.58627,0.9879,0.000911,0.000911,0.000911
57,124.748,0.62994,0.36075,0.82453,0.85878,0.96017,0.9655,0.72418,0.93767,0.58627,0.9879,0.0008912,0.0008912,0.0008912
58,126.683,0.66495,0.37394,0.83465,0.86851,0.99123,0.97625,0.75641,0.86724,0.56399,0.95015,0.0008714,0.0008714,0.0008714
59,128.809,0.64304,0.39136,0.84503,0.86851,0.99123,0.97625,0.75641,0.86724,0.56399,0.95015,0.0008516,0.0008516,0.0008516
60,130.904,0.62336,0.36943,0.84161,0.88476,0.98246,0.97534,0.75385,0.85619,0.53333,0.95053,0.0008318,0.0008318,0.0008318
61,132.747,0.60664,0.35146,0.82978,0.88476,0.98246,0.97534,0.75385,0.85619,0.53333,0.95053,0.000812,0.000812,0.000812
62,134.684,0.61958,0.35572,0.83893,0.88649,0.98246,0.9699,0.7297,0.92233,0.55198,0.98538,0.0007922,0.0007922,0.0007922
63,136.548,0.59055,0.33347,0.83224,0.88649,0.98246,0.9699,0.7297,0.92233,0.55198,0.98538,0.0007724,0.0007724,0.0007724
64,138.489,0.59462,0.34274,0.83198,0.92467,0.96909,0.97811,0.73957,0.91286,0.50843,0.98344,0.0007526,0.0007526,0.0007526
65,140.369,0.57996,0.33225,0.83649,0.92467,0.96909,0.97811,0.73957,0.91286,0.50843,0.98344,0.0007328,0.0007328,0.0007328
66,142.348,0.60748,0.36002,0.82077,0.95613,0.95579,0.98104,0.75253,0.87921,0.45429,0.96475,0.000713,0.000713,0.000713
67,144.235,0.54012,0.31684,0.81534,0.95613,0.95579,0.98104,0.75253,0.87921,0.45429,0.96475,0.0006932,0.0006932,0.0006932
